Rating_Number,Votes_Number,Computer_Score,Group_Rank,Group_Rank_Size,Total_Rank,Total_Rank_Size,HDMI,Keyboard,Generation,GPU,Solid State Drive,Microphone In,Process Node,USB Ports,RAM,SSD Interface,Touch,Anti Glare Screen,Speed,Cores,Cache,Inbuilt Microphone,Utility,OS,Keyboard Backlit,Optical Drive,Resolution,RAM Bus Speed,Headphone Jack,Battery,Dimensions,Ethernet,Model,Size,Sales Package,PPI,Speakers,Camera,WiFi,Brand,Series,Battery Details,Type,Touchpad,Warranty,Features,Security Lock Port,Processor,Adapter Type,Bluetooth,Weight,Device Type,Price
4.3,88,2,24,35,153,2352,1 x HDMI 2.0 Port,"Full-size, backlit, Natural Silver keyboard with numeric keypad, Yes",11th Gen,NVIDIA GeForce MX450,512GB,Yes,10nm SuperFin,"1 x USB Type-C, 1.4 x USB 2.0",16GB DDR4,No,No,Yes,4 x 2.5GHz (Turbo Speed upto 4.5GHz) Cores,"Quad Core, 8 Threads",8MB,Integrated dual array digital microphones,Performance,Windows 11 Home (64-bit),Yes,No,1920x1080pixels,3200MHz,Yes,"41Wh, 3 Cell Battery",360x234x17.9mm,No,15-eg1000TX,15.6inches,"Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",~ 141PPI,Dual speakers,Yes,MediaTek Wi-Fi CERTIFIED 6 MT7921 (2x2),Intel,Pavilion,No,"FHD, IPS, Micro-edge, Bright view",HP Imagepad with Multi-touch Gesture Support,1year Onsite Warranty,"Brightness: 250 nits, 141 ppi, Color Gamut: 45%NTSC",No,11th Gen Intel Core i5 1155G7,No,v5.2,1.75kg,Ultrabook,284990.0
3.95,267,3,91,319,1760,2352,1 x HDMI Port,"100-/101-/104-key FineTip keyboard with independent numeric keypad, international language support, and power button",3rd Gen,AMD Radeon Graphics,512GB,Yes,No,"2 x USB 3.0, 1 x USB 2.0",4GB DDR4,No,No,No,2 x 2.6GHz (Turbo Speed upto 3.5GHz) Cores,"Dual Core, 4 Threads",4MB,Built-in Dual Microphone,Performance,Windows 11 Home (64-bit),No,No,1920x1080pixels,No,Yes,2 Cell Battery,363.4x250.5x19.9mm,Gigabit Ethernet,"A315-23, Aspire 3",15.6inches,"Laptop, Power Adaptor, User Guide, Warranty Documents",~ 141PPI,Two built-in stereo speakers,Yes,802.11a/b/g/n/ac wireless LAN,AMD,Aspire 3,No,TFT LCD,Touchpad with Multi-touch Gesture Support,1year Warranty,"Full HD, high-brightness Acer ComfyView LED-backlit TFT LCD",Kensington lock slot,3rd Gen AMD Ryzen 3  3250U,45 W AC Adapter,v4.2,1.9kg,Netbook,34500.0
4.15,111,3,272,332,1507,2352,1 x HDMI 2.1 Port,"4-Zone RGB , Yes",5th Gen,NVIDIA GeForce RTX 3050,512GB,Yes,No,"1 x USB 3.0, 1.4 x USB 2.0",16GB DDR4,No,No,Yes,8 x 3.2GHz (Turbo Speed upto 4.4GHz) Cores,"Octa Core, 16 Threads",16MB,Built-in Dual Array Microphones,Performance,Windows 11 Home (64-bit),Yes,No,1920x1080pixels,No,Yes,No,No,100/1000M,15ACH6,15.6inches,"Laptop, Power Adaptor, User Guide, Warranty Documents",~ 141PPI,Dual Stereo Speakers,Yes,"11ax, 2x2)",AMD,Ryzen 7,No,Full HD IPS,Yes,1year Onsite Warranty,"300nits, 165Hz, 100% sRGB, Dolby Vision, Free-Sync, G-Sync, DC Dimmer Display",No,5th Gen AMD Ryzen 7  5800H,No,v5.1,2.4kg,Netbook,75999.0
4.1,505,3,175,319,1885,2352,1 x HDMI Port,Single backlight Keyboard(White),11th Gen,Intel Integrated UHD,512GB,Yes,No,2 x USB 3.0,8GB DDR4,No,No,No,2 x (Turbo Speed upto 4.1GHz) Cores,"Dual Core, 4 Threads",6MB,Built-in Microphone,Performance,Windows 10 Home (64-bit),Yes,No,1920x1080pixels,No,Yes,"39Wh, 3 Cell Battery",319x219x18.1mm,No,"Modern 14 B11MOU-862IN, Modern 14 B11MOU-862IN",14inches,"Laptop, battery, adapter, cables and user manuals",~ 157PPI,Built-in Dual Speakers,Yes,Intel Wi-Fi 6 AX201(2*2 ax),Intel,Modern,No,Full HD,Yes,1year Warranty,60Hz 45%NTSC IPS-Level,No,11th Gen Intel Core i3 1115G4,No,v5.1,1.3kg,Ultrabook,35500.0
4.5,107,2,132,227,859,2352,1 x HDMI 1.4 Port,"Backlit Chiclet Keyboard with Num-key, Yes",11th Gen,Intel Integrated Iris Xe,512GB,Yes,No,"1 x USB Type-C, 1 x USB 3.0, 2 x USB 2.0",16GB DDR4,No,No,Yes,4 x 2.4GHz (Turbo Speed upto 4.2GHz) Cores,"Quad Core, 8 Threads",8MB,Built-in Microphone,Performance,"Windows 11 Home, Windows 11 Home (64-bit)",Yes,No,1920x1080pixels,No,Yes,"42Wh, 3 Cell Battery",359x235x17.9mm,No,K513EA-L512WS,15.6inches,"Laptop, battery, adapter, cables and user manuals",~ 141PPI,Built-in Speakers,Yes,Wi-Fi 6(802.11ax) 2x2,Intel,VivoBook K15 OLED (2021),No,Full HD,Yes,1year Onsite Warranty,"600nits peak brightness, 100% DCI-P3 color gamut 1, 000, 000:1 VESA CERTIFIED Display HDR True Black 600 1.07 billion colors PANTONE Validated, Glossy display 70% less harmful blue light",No,11th Gen Intel Core i5 1135G7,65W AC Adapter,v5,1.8kg,Ultrabook,100500.0
4,435,3,193,345,1904,2352,1 x HDMI Port,No,12th Gen,Intel Iris Xe Graphics,512GB,Yes,10 nm,"1 x USB Type-C, 1 x USB 3.0, 1 x USB 2.0",8GB DDR4,No,No,Yes,2 x 1.3GHz (Turbo Speed upto 4.4GHz) Performance Cores  8 x 900MHz (Turbo Speed upto 3.3GHz) Efficient Cores,"10 Cores (2P + 8E), 12 Threads",12MB,Yes,"Business, Performance",\u200eWindows 11 Home (64-bit),Yes,No,1920x1080pixels,3200MHz,Yes,3 Cell Battery,324x220x19mm,Yes,21E3S04X00,14inches,"\u200eLaptop, User manual, Adapter\n",~ 157PPI,No,Yes,802.11ac,Intel,ThinkPad E14,No,LED,Yes,1year Onsite Warranty,Full HD Display,Yes,12th Gen Intel Core i5 1235U,No,v5.1,1.59kg,Netbook,40500.0
4.1,265,2,222,447,1304,2352,1 x HDMI Port,No,5th Gen,AMD Radeon Graphics,512GB,Yes,No,"2 x USB Type-C, 1 x USB 3.0, 1 x USB 2.0",16GB DDR4,No,No,Yes,6 x 3.3GHz (Turbo Speed upto 4.2GHz) Cores,"Hexa Core, 12 Threads",16MB,Yes,Everyday Use,Windows 10 Home (64-bit),Yes,No,3200x2000pixels,3200MHz,Yes,No,350x242x17.9mm,No,RedmiBook 15,15.6inches,No,~ 242PPI,2×2W Speakers,Yes,Yes,AMD,Ryzen 5,No,LED,Yes,1year Warranty,90Hz Refresh Rate,No,5th Gen AMD Ryzen 5  5600H,100W USB-C Power Adapter,v5.1,1.8kg,Netbook,56990.0
4.35,95,2,167,376,940,2352,1 x HDMI 2.0 Port,English,12th Gen,Nvidia Quadro T550,1TB,Yes,10 nm,"2 x USB Type-C, 2 x USB 3.0",16GB DDR4,NVMe PCIe Gen4,No,Yes,4 x 2.1GHz (Turbo Speed upto 4.7GHz) Performance Cores  8 x 1.5GHz (Turbo Speed upto 3.4GHz) Efficient Cores,"12 Cores (4P + 8E), 16 Threads",18MB,Yes,Business,Windows 11 Pro (64-bit),Yes,No,1920x1200pixels,3200MHz,Yes,"52.5Wh, 4 Cell Battery",No,Yes,21BTS02000,16inches,"Laptop, Adapter & User Manuals",~ 141PPI,2W Dual Stereo speakers,720P HD RGB,Yes,Intel,Thinkpad P16s,\u200e52.5 Watt Hours,IPS,Yes,3years Onsite Warranty,"45% NTSC, 300 Nits",Kensington security lock slot,12th Gen Intel Core i7 1260P,65W Adapter,v5,No,Netbook,67990.0
4.55,72,2,53,447,746,2352,1 x HDMI Port,"Single Pointing Non-Backlit Keyboard, English International",12th Gen,Intel Iris Xe Graphics,512GB,Yes,10 nm,"1 x USB Type-C, 2 x USB 3.0, 1 x USB 2.0",8GB DDR4,No,No,No,2 x 1.3GHz (Turbo Speed upto 4.4GHz) Performance Cores  8 x 900MHz (Turbo Speed upto 3.3GHz) Efficient Cores,"10 Cores (2P + 8E), 12 Threads",12MB,Dual-array Microphone\n,Everyday Use,\u200eWindows 11 Pro (64-bit),Yes,No,1366x768pixels,3200MHz,Yes,"650Wh, 4 Cell Battery",No,Yes,Latitude 3430,14inches,\u200eLaptop & Adapter\n,~ 112PPI,Stereo Speakers With Realtek Audio Controller,Yes,802.11ax,Intel,Latitude,650 WHrs Li-ion,LED,Yes,1year Warranty,No,No,12th Gen Intel Core i5 1235U,45 W AC adapter,v5.1,1.59kg,Netbook,53990.0
4.7,64,2,116,231,292,2352,1 x HDMI v1.4 Port,Yes,11th Gen,Intel Integrated UHD,256GB,Yes,No,"1 x USB Type-C, 2 x USB 3.0",8GB DDR4,No,Yes,No,4 x (Turbo Speed upto 3.7GHz) Cores,"Quad Core, 8 Threads",8MB,Yes,Performance,"Windows 10, Windows 10 (64-bit)",Yes,No,1920x1080pixels,3200MHz,No,3 Cell Battery,321x211x18mm,No,Inspiron 5410,14inches,"Laptop, Battery, Adapter, Cables and User Manuals",~ 157PPI,Yes,Yes,Intel Wi-Fi 6 2x2 (Gig+,Intel,Inspiron,No,LED,Yes,1year Onsite Warranty,Full HD WVA Touch Display,Kensington Lock Port,11th Gen Intel Core i3 1125G4,No,v5,1.56kg,Hybrid,148490.0
4.35,99,2,148,227,933,2352,1 x HDMI 1.4 Port,"English Non , No",10th Gen,Intel Integrated UHD,256GB,Yes,No,"2 x USB 3.0, 1 x USB 2.0",8GB DDR4,No,No,Yes,2 x 2.1GHz (Turbo Speed upto 4.1GHz) Cores,"Dual Core, 4 Threads",4MB,Built-in array microphone,Performance,Windows 10 Home (64-bit),Yes,No,1920x1080pixels,2666MHz,Yes,35Wh Battery,362.2x253.4x19.9mm,No,15IML05,15.6inches,"Laptop, Power Adaptor, User Guide, Warranty Documents",~ 141PPI,Built-in Dual Speakers,Yes,"11ac, 2x2",Intel,IdeaPad 3,No,LED,Yes,1year Warranty,Full HD TN 220nits,No,10th Gen Intel Core i3 10110U,45W AC Adapter\n,v5,1.7kg,Ultrabook,108000.0
4.2,755,2,122,447,1042,2352,1 x HDMI 2.0b Port,"Backlit Chiclet Keyboard Single Light, Yes",6th Gen,NVIDIA GeForce RTX 3050 Ti,1TB,Yes,No,"1 x USB Type-C, 1 x USB 3.0",32GB LPDDR5,No,Yes,No,8 x 3.2GHz (Turbo Speed upto 4.7GHz) Cores,"Octa Core, 16 Threads",16MB,Built-in Microphone,Gaming,Windows 11 Home (64-bit),Yes,No,3840x2400pixels,No,No,"62Wh, 4 Cell Battery",299x222x16.9mm,No,GV301RE-LI201WS,13.4inches,"Laptop, Battery, Adapter, Cables and User Manuals",~ 338PPI,Built-in Speakers,Yes,Wi-Fi 6E(802.11ax) Dual band) 2x2,AMD,ROG Flow X13,No,UHD+ LED-Backlit LCD,Yes,1year Onsite Warranty,"60Hz Refresh Rate, Touch Screen, IPS-level, Brightness 450nits, Contrast 1000:1, NTSC 82%, SRGB 116%, Adobe 86%, DCI-P3 85%, Glossy display",No,6th Gen AMD Ryzen 7  6800HS,No,v5.2,1.3kg,Netbook,56990.0
4.3,4,3,146,345,1772,2352,1 x HDMI 1.4 Port,"Backlit Chiclet Keyboard, Yes",11th Gen,Intel Integrated UHD,512GB,Yes,No,"1 x USB 3.0, 1 x USB 2.0",8GB LPDDR4X,No,Yes,No,2 x (Turbo Speed upto 4.1GHz) Cores,"Dual Core, 4 Threads",6MB,Built-in Array Microphone,Performance,Windows 11 Home (64-bit),Yes,No,1920x1080pixels,No,Yes,"42Wh, 3 Cell Battery",324x220x18.7mm,No,TP470EA-EC311WS,14inches,"Laptop, Battery, Adapter, Cables and User Manuals",~ 157PPI,Built-in Speakers,Yes,Wi-Fi 6 (802.11ax),Intel,VivoBook Flip 14,No,"Full HD, IPS-level Panel","Stylus, Stylus Holder",1year Onsite Warranty,"LED Backlit, Brightness: 250 nits, Color Gamut: 45% NTSC, Glossy Display, Screen-to-Body Ratio: 82",No,11th Gen Intel Core i3 1115G4,65W AC Adapter,v5,1.5kg,Hybrid,39799.0
4.25,70,2,12,231,78,2352,1 x HDMI Port,Full-size keyboard with numeric keypad,11th Gen,Intel UHD,512GB,Yes,No,1 x USB 3.0,8GB DDR4,No,No,Yes,2 x (Turbo Speed upto 4.1GHz) Cores,"Dual Core, 4 Threads",6MB,integrated digital microphone,Everyday Use,Windows 11 Home (64-bit),No,No,1366x768pixels,2666MHz,Yes,3 Cell Battery,No,No,250 G8 6X4B3PA,15.6inches,No,~ 100PPI,Built-in Speakers,Yes,802.11 b/g/n/ax,Intel,Core i3,No,LED,Multi-Touch Gestures Enabled,1year Warranty,HD LED Backlit Display,No,11th Gen Intel Core i3 1115G4,No,v5,No,Netbook,157900.0
4.1,211,3,173,260,1694,2352,1 x HDMI v2.0b Port,"4-Zone RGB Backlit Chiclet Keyboard, Yes",5th Gen,NVIDIA GeForce RTX 3050,1TB,Yes,No,"1 x USB Type-C, 3 x USB 3.0",8GB DDR4,No,No,Yes,6 x 3.3GHz (Turbo Speed upto 4.2GHz) Cores,"Hexa Core, 12 Threads",16MB,Built-In Array Microphone (AI Noise Cancelling),"Gaming, Performance",Windows 10 Home (64-bit),Yes,No,1920x1080pixels,3200MHz,Yes,"56Wh, 4 Cell Battery",354x259x26mm,10/100/1000 Mbps,G513QC-HN088TS,15.6inches,"Laptop, Power Adaptor, User Guide, Warranty Documents",~ 141PPI,Built-In Dual Speakers,No,Wi-Fi 6 (802.11ax),AMD,ROG Strix G15,No,IPS,Yes,1year Onsite Warranty,"Full HD LED Backlit, Adaptive-Sync Display (144Hz Refresh Rate)",No,5th Gen AMD Ryzen 5  5600H,200 W AC Adapter,v5.1,2.1kg,Netbook,51999.0
4,293,3,268,319,2213,2352,1 x HDMI Port,Chiclet Keyboard,11th Gen,Intel Integrated Intel UHD,512GB,Yes,10 nm SuperFin,"1 x USB Type-C, 1 x USB 3.0, 2 x USB 2.0",8GB DDR4,NVMe PCIe Gen3,No,Yes,2 x 3GHz (Turbo Speed upto 4.1GHz) Cores,"Dual Core, 4 Threads",6MB,Yes,"Everyday Use, Business, Performance",Windows 11 Home (64-bit),No,No,1920x1080pixels,No,Yes,"37Wh, 2 Cell Battery",325.4x216x19.9mm,No,X415EA-EK326WS,14inches,"Laptop, Power Adaptor, User Guide",~ 157PPI,Built In Speaker,Yes,"Wi-Fi 5 (802.11ac) 2*2, Wi-Fi 5 (802.11ac) 2*2",Intel,Vivobook 14,Li-ion,"IPS-level Panel, FHD",MultiGesture Touchpad,1year Onsite Warranty,"250nits, NTSC: 45%",Yes,11th Gen Intel Core i3 1115G4,No,v4.2,1.6kg,Netbook,35990.0
4.65,108,2,37,270,451,2352,1 x HDMI 1.4 Port,Yes,3rd Gen,AMD Radeon Radeon Graphics,256GB,Yes,No,"2 x USB 3.0, 1 x USB 2.0",8GB DDR4,No,No,Yes,2 x 2.6GHz (Turbo Speed upto 3.5GHz) Cores,"Dual Core, 4 Threads",4MB,Yes,Everyday Use,Windows 11 Home (64-bit),Yes,No,1920x1080pixels,3200MHz,No,3 Cell Battery,No,Yes,Inspiron 3525,15.6inches,"Laptop, battery, adapter, cables and user manuals",~ 141PPI,Yes,Yes,802.11ac 1x1,AMD,Inspiron,No,FHD,Yes,1year Onsite Warranty,No,Kensington Lock Port,3rd Gen AMD Ryzen 3 3250U,No,v5,1.68kg,Netbook,84555.0
4.05,61,3,43,345,1279,2352,1 x HDMI 1.4b Port,"Full-size, Backlit Natural Silver Keyboard with Numeric Keypad",11th Gen,NVIDIA GeForce MX450,512GB,Yes,No,"1 x USB Type-C, 2 x USB 2.0",8GB DDR4,No,No,Yes,4 x 2.4GHz (Turbo Speed upto 4.2GHz) Cores,"Quad Core, 8 Threads",8MB,Integrated Dual Array Digital Microphones,Performance,Windows 11 Home (64-bit),Yes,No,1920x1080pixels,3200MHz,Yes,"41Wh, 3 Cell Battery",358x242x19.9mm,Integrated 10/100/1000 GbE LAN,15s-du3519TX,15.6inches,"Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",~ 141PPI,Dual Speakers,Yes,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,Intel,Core i5,No,IPS,Touchpad with Multi-touch Gesture Support,1year Onsite Warranty,"Micro-edge, Brightness: 250 nits, 141 ppi Color Gamut: 45%NTSC",No,11th Gen Intel Core i5 1135G7,No,v5,1.75kg,Ultrabook,37990.0
4.05,75,3,59,272,1252,2352,1 x HDMI 1.4b Port,Yes,3rd Gen,AMD Radeon Vega 8 Graphics,512GB,Yes,No,2 x USB 2.0,8GB DDR4,No,No,Yes,2 x 2.6GHz (Turbo Speed upto 3.5GHz) Cores,"Dual Core, 4 Threads",4MB,Yes,Everyday Use,Windows 11 Home (64-bit),No,No,1920x1080pixels,No,No,3 Cell Battery,376x246x22.5mm,Integrated 10/100/1000 GbE NIC,62Y23PA,15.6inches,Laptop 1 ; Adapter 1 ; Power Cable 1,~ 141PPI,Dual Stereo Speakers,Yes,Yes,AMD,255 G8,No,FHD SVA WLED-backlit,Yes,1year Warranty,No,Yes,3rd Gen AMD Ryzen 3  3250U,No,Yes,1.78kg,Netbook,42990.0
4.45,161,2,242,376,1223,2352,1 x HDMI Port,100-/101-/104-key FineTip keyboard with independent numeric keypad,11th Gen,Intel Integrated UHD,256GB,Yes,No,"2 x USB 3.0, 1 x USB 2.0",8GB DDR4,No,No,No,2 x (Turbo Speed upto 4.1GHz) Cores,"Dual Core, 4 Threads",6MB,Built-in Dual Microphone,Performance,Windows (64-bit),No,No,1920x1080pixels,No,Yes,2 Cell Battery,363.4x238.4x19.9mm,"Gigabit Ethernet, Wake-on-LAN Ready",A315-58,15.6inches,"Laptop, Power Adaptor, User Guide, Warranty Documents",~ 141PPI,Built-in Dual Speakers,Yes,802.11a/b/g/n/ac wireless LAN,Intel,Aspire 3,No,Full HD Acer Comfy View LED-backlit TFT LCD,Yes,1year Warranty,No,No,11th Gen Intel Core i3 1115G4,No,v5,1.7kg,Ultrabook,69998.0
4.45,144,3,27,178,1694,2352,1 x HDMI 2.1 Port,"Full-size, backlit, Natural Silver keyboard with numeric keypad, Yes",12th Gen,NVIDIA GeForce MX550,512GB,Yes,10 nm,"1 x USB Type-C, 2 x USB 2.0",16GB DDR4,No,No,Yes,2 x 1.3GHz (Turbo Speed upto 4.4GHz) Performance Cores  8 x 900MHz (Turbo Speed upto 3.3GHz) Efficient Cores,"10 Cores (2P + 8E), 12 Threads",12MB,Integrated Dual Array Digital Microphones,Performance,Windows 11 Home (64-bit),Yes,No,1920x1080pixels,3200MHz,Yes,"41Wh, 3 Cell Battery",360x234x17.9mm,No,15-EG2019TX,15.6inches,"Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",~ 141PPI,Dual Speakers,Yes,MediaTek Wi-Fi CERTIFIED 6 MT7921 (2x2),Intel,Pavilion,No,IPS,HP Imagepad with multi-touch gesture support,1year Onsite Warranty,"FHD, IPS, Micro-edge, Low Blue Light (Brightness 300 nits, 141 ppi Color Gamut 100%sRGB)",No,12th Gen Intel Core i5 1235U,No,v5.2,1.75kg,Ultrabook,31990.0
4.2,263,3,266,345,2071,2352,1 x HDMI 1.4 Port,"Backlit Chiclet Keyboard with Num-key, Yes",5th Gen,AMD Radeon Graphics,512GB,Yes,No,"1 x USB Type-C, 1 x USB 3.0, 2 x USB 2.0",16GB DDR4,No,No,No,8 x 1.8GHz (Turbo Speed upto 4.3GHz) Cores,"Octa Core, 16 Threads",8MB,Built-in Microphone,Performance,Windows 11 Home (64-bit),Yes,No,1920x1080pixels,No,Yes,"42Wh, 3 Cell Battery",359.8x235.3x18.6mm,No,KM513UA-L713WS,15.6inches,"Laptop, Power Adaptor, User Guide, Warranty Documents",~ 141PPI,Built-in speaker,Yes,Wi-Fi 6(802.11ax),AMD,VivoBook K15 OLED,No,FHD,Yes,1year Onsite Warranty,"600 nits Peak Brightness, 100% DCI-P3 Color Gamut",No,5th Gen AMD Ryzen 7  5700U,65W AC Adapter,v5,1.8kg,Ultrabook,38900.0
3.9,85,3,224,270,1401,2352,1 x HDMI 1.4 Port,Chiclet Keyboard,12th Gen,Intel Integrated Iris Xe,512GB,Yes,12 nm,"1 x USB Type-C, 2 x USB 3.0, 1 x USB 2.0",16GB DDR4,No,Yes,Yes,4 x 1.7GHz (Turbo Speed upto 4.4GHz) Performance Cores  8 x 1.2GHz (Turbo Speed upto 3.3GHz) Efficient Cores,"12 Cores (4P + 8E), 16 Threads",12MB,Built-in Microphone,Performance,Windows 11 Home (64-bit),Yes,No,1920x1080pixels,No,No,"42Wh, 3 Cell Battery",324.9x213.9x19.9mm,No,X1402ZA-MW512WS,14inches,"Laptop, Power Adaptor, User Guide, Warranty Documents",~ 157PPI,Built-in Speakers,Yes,Wi-Fi 6(802.11ax) Dual band) 2x2,Intel,Vivobook 14 (2022),No,"LED Backlit LCD, IPS-level Panel,",Yes,1year Onsite Warranty,"250nits, 45% NTSC color gamut",No,12th Gen Intel Core i5 1240P,No,v5,1.5kg,Ultrabook,85749.0
4.4,1,2,113,481,854,2352,1 x HDMI Port,Standard Notebook Keyboard,8th Gen,Intel UHD 620,512GB,Yes,No,2 x USB 3.0,8GB DDR3,No,No,No,4 x 1.6GHz (Turbo Speed upto 3.4GHz) Cores,"Quad Core, 8 Threads",6MB,Dual Array Digital Microphone,Everyday Use,Windows 10 Home Basic (64-bit),No,No,1920x1080pixels,1600MHz,Yes,2 Cell Battery,333x222x16mm,No,NS14A2IN216P,14inches,No,~ 157PPI,Stereo Speakers,Yes,802.11 b/g/n,Intel,Core i5,No,LED,Multi-Touch Gestures Enabled,1 Year,Full HD LED Backlit Display,No,8th Gen Intel Core i5 8250U,No,v4.2,1.46kg,Netbook,59990.0
4.15,112,2,129,453,854,2352,1 x HDMI Port,No,5th Gen,AMD Radeon,512GB,Yes,No,"2 x USB Type-C, 3 x USB 3.0",16GB DDR4,NVMe,No,Yes,8 x 2GHz (Turbo Speed upto 4.5GHz) Cores,"Octa Core, 16 Threads",16MB,Yes,"Business, Performance",\u200eWindows 11 Home (64-bit),Yes,No,1920x1080pixels,3200MHz,Yes,4 Cell Battery,357x230x19.1mm,Yes,FMV MH 4ZR1K10326,15.6inches,No,~ 141PPI,Stereo Speakers,Yes,IEEE 802.11a/b/g/n/ac/ax,AMD,FMV MH,No,LED,Yes,2years Warranty,"Full HD, Brightness: 400 nits, 100% sRGB",No,5th Gen AMD Ryzen 7 5825U,65 Watts,v5.2,1.37kg,Hybrid,62990.0
4.35,92,3,344,453,1494,2352,1 x HDMI Port,"Full-size 4 Zone RGB Backlit Mica Silver Keyboard (26-Key Rollover Anti-ghosting Key Technology), Yes",6th Gen,NVIDIA GeForce RTX 3050Ti,512GB,Yes,No,3 x USB 3.0,16GB DDR4,No,No,No,8 x 3.2GHz (Turbo Speed upto 4.7GHz) Cores,"Octa Core, 16 Threads",16MB,Integrated Dual Array Digital Microphone,"Gaming, Performance",Windows 11 Home (64-bit),Yes,No,1920x1080pixels,No,Yes,"52.2Wh, 3 Cell Battery",No,Yes,16-n0049AX,16inches,"Laptop, Power Adaptor, User Guide, Warranty Documents",~ 141PPI,Built-in Dual Speakers,Yes,Yes,AMD,Omen,No,LED,HP Imagepad with Multi-touch Gesture Support (Precision Touchpad Support),1year Onsite Warranty,"Full HD LED Backlit IPS Micro-edge Display (250 nits Brightness, 45% NTSC Color Gamut, 144 Hz Refresh Rate)",No,6th Gen AMD Ryzen 7  6800H,No,Yes,No,Netbook,66490.0
4.35,102,2,47,453,585,2352,1 x HDMI 1.4b Port,English (India),12th Gen,Integrated Intel UHD Graphics,512GB,Yes,10 nm,"1 x USB Type-C, 1 x USB 3.0, 1 x USB 2.0",8GB DDR4,NVMe PCIe Gen4,No,Yes,2 x 1.3GHz (Turbo Speed upto 4.4GHz) Performance Cores  8 x 900MHz (Turbo Speed upto 3.3GHz) Efficient Cores,"10 Cores (2P + 8E), 12 Threads",12MB,Yes,"Everyday Use, Performance",Windows 11 Home (64-bit),Yes,No,1920x1080pixels,3200MHz,Yes,45Wh Battery,No,No,82TW0019IH,14inches,No,~ 141PPI,Stereo,Yes,Wi-Fi 6 11AX (2x2),Intel,S14,45Wh,IPS,Yes,1year Warranty,"45% NTSC, 300 Nits",No,12th Gen Intel Core i5 1235U,65W Adapter,v5,No,Hybrid,64990.0
4.4,80,2,153,227,963,2352,1 x HDMI 1.4b Port,English Keyboard,11th Gen,Intel Integrated UHD,256GB,Yes,No,"1 x USB 3.0, 1 x USB 2.0",4GB DDR4,No,No,Yes,2 x (Turbo Speed upto 4.1GHz) Cores,"Dual Core, 4 Threads",6MB,Yes,Performance,Windows 10 Home (64-bit),No,No,1920x1080pixels,No,Yes,2 Cell Battery,359.2x235.8x19.9mm,No,"V15 ITL G2, V15 ITL Gen 2",15inches,"Laptop, Power Adaptor, User Guide, Warranty Documents",~ 147PPI,Yes,Yes,802.11ac 1x1 Wi-Fi,Intel,Core i3,No,Full HD TN LED Display,Yes,1year Onsite Warranty,No,No,11th Gen Intel Core i3 1115G4,No,v5,1.7kg,Ultrabook,104990.0
4.15,63,3,295,447,1471,2352,1 x HDMI v2.0a Port,"Backlit Chiclet Keyboard with Num-key, Yes",10th Gen,NVIDIA Geforce RTX 2060,1TB,Yes,No,2 x USB 3.0,32GB DDR4,No,Yes,No,8 x 2.4GHz (Turbo Speed upto 5.3GHz) Cores,"Octa Core, 16 Threads",16MB,Built-in Array Microphone,"Gaming, Performance",Windows 10 Home (64-bit),Yes,No,3840x2160pixels,2933MHz,Yes,"71Wh, 8 Cell Battery",356x224x24mm,No,UX581LV-H2035T,15.6inches,"Laptop, Power Adaptor, Stylus, Plamrest, Stand, User Guide, Warranty Documents",~ 282PPI,Built-in Speaker,Yes,IEEE 802.11ax,Intel,Core i9,No,OLED,ScreenPad Plus ((14 inch 3840 x 1100 Pixel (4K) IPS Panel Support Stylus) (with NumberPad Support)),1year Onsite Warranty,"UHD (4K) OLED Glossy IPS-Level Touch Display (DCI-P3: 100% Color Gamut, 400 nits Brightness, 133% sRGB Color Gamut, 89% Screen-to-body Ratio)",No,10th Gen Intel Core i9 10980HK,230 W AC Adapter,v5,2.5kg,Netbook,56800.0
4.3,307,3,189,319,2058,2352,1 x HDMI 1.4b Port,Spill Resistant Keyboard,11th Gen,Intel Integrated UHD,256GB,Yes,No,"1 x USB 3.0, 1 x USB 2.0",4GB DDR4,No,No,No,2 x (Turbo Speed upto 4.1GHz) Cores,"Dual Core, 4 Threads",6MB,Yes,Performance,Windows 10 Home (64-bit),No,No,1920x1080pixels,No,Yes,No,No,100/1000M,"82KB00M0IH, V15",15.6inches,"Laptop, Adapter & User Manuals",~ 141PPI,1.5W x 2 Dolby Audio Speakers,Yes,11ac 2x2,Intel,V15,No,LED,Yes,1year Warranty,No,No,11th Gen Intel Core i3 1115G4,No,v5,No,Ultrabook,34990.0
